ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
SL1-11,Buildings,Building panel art parity,"A full screen with building art, a named plate, an earnings header, Quick x1/x10, and three tabs (Training / Appearance / Operation)",Everkai's panel is text and space,Live client UI,Flow,M,P1,1,Not started,"[NOT RE-VERIFIED] 90% bar (cosmetic) — ship, label, log."
SL1-12,Buildings,Exercise the implemented-but-unopened routes,Every emulator path in the slice clickable,"city_harvest, city_harvest_all, city_building_level_up and city_building_quality_up are implemented and have NEVER been exercised in the 3-day log",state/server-runtime.log; docs/slice-buildings.md section 5,Flow,S,P0,1,Deferred,"[DEFERRED 2026-09-15 -- the source of truth is not in this repo.] This row's evidence is state/server-runtime.log and the private-server route names (city_harvest, city_harvest_all, city_building_level_up, city_building_quality_up); there is no state/ directory in the Everkai repo and no emulator here, so it cannot be closed from this worktree. Same class as DATA-05. WHAT WAS CLOSABLE HERE IS CLOSED: the Everkai-side analogue of city_building_quality_up was genuinely unreachable -- upgradeStaffQuality and claimStaffingMaterials refused in any save that had not opted into APK growth, and the business scene rendered no quality row at all -- and both are now reachable in a default save (SL1-04). Everkai already has a permanent guard for this class of defect, tests/dispatch.test.mjs, which fails if any lib action has no app/ dispatch; it is green, so no Everkai building action is stranded."
BLD-01,Buildings,Inn — Building_101,Building-specific mechanics beyond employees; see C7 for the Inn sim system,PRESENT as a business; Inn sim = PARTIAL,BuildingBase.json (18 rows),Numbers,n/a,P1,1,In flight,"[NOT RE-VERIFIED] addStaffCost 100,000. Measured staff term 18,000 = 2000 x (1+8); bonus 2,063,800; yield 728,997,936/s."
BLD-02,Buildings,Apothecary — Building_201,See C9,PRESENT,BuildingBase.json,Numbers,n/a,P1,1,In flight,"[NOT RE-VERIFIED] Measured staff term 20,000; bonus 4,433,000; yield 1,562,725,726/s — the largest of the 15."
BLD-03,Buildings,Workshop — Building_301,See C8,PRESENT,BuildingBase.json,Numbers,n/a,P1,1,In flight,"[NOT RE-VERIFIED] Measured staff term 22,000; bonus 985,650; yield 350,396,714/s."
BLD-04,Buildings,Scroll Shop — Building_401,Generic employees/earnings plus operation-skill scope,PRESENT as a generic business; appears only in an operation-bonus scope (Pump +20% at level 50) and as an opening land gate,BuildingBase.json; SYSTEMS.md:430,Numbers,S,P2,1,Not started,"[NOT RE-VERIFIED] No original rule page exists for this building beyond earnings, employees and operation-skill bonuses."
BLD-05,Buildings,Spring Resort — Building_501,Generic employees/earnings plus operation-skill scope,PRESENT as a generic business; appears only in an operation-bonus scope (Reir +20% at level 50),BuildingBase.json; SYSTEMS.md:430,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] No original rule page.
BLD-06,Buildings,Central Station — Building_601,Generic employees/earnings,PRESENT as a generic business; no special-mechanic link,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] No original rule page.
BLD-07,Buildings,Patisserie — Building_701,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] No original rule page.
BLD-08,Buildings,Archery Range — Building_801,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] No original rule page.
BLD-09,Buildings,Museum — Building_901,Generic employees/earnings as a BUILDING; the Museum SYSTEM is E4,PRESENT as a generic business with no special-mechanic link in lib or app,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] Do not confuse the village building with the Museum collection system (E4).
BLD-10,Buildings,Market Street — Building_1001,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] 
BLD-11,Buildings,Bank — Building_1101,Generic employees/earnings; CityBank feeds the bonus stack,PRESENT as a generic business with no special-mechanic link,BuildingBase.json; CityBank.json (200 rows),Numbers,S,P2,1,Not started,"[NOT RE-VERIFIED] CORRECTED 2026-09-12: this row previously said HeroConversionRate is 10 for every building EXCEPT Bank, which is 0. That is wrong and it conflated two different buildings. Building_1101 (Bank, this row) MEASURES 10, like every other business. The 0 belongs to Building_Bank -- the Farmstead, which is BLD-18 and is a genuinely distinct building despite the confusing id. BLD-18 already records that distinction. So there is no Bank special case to preserve when the income model is rewritten; if a zero-conversion building is wanted, it is the Farmstead. Agent-measured against BuildingBase; not independently re-run by the lead."
BLD-12,Buildings,Tailor Shop — Building_1201,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] 
BLD-13,Buildings,Sports Park — Building_1301,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] 
BLD-14,Buildings,Clinic — Building_1401,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] 
BLD-15,Buildings,Theater — Building_1501,Generic employees/earnings,PRESENT as a generic business,BuildingBase.json,Numbers,S,P2,1,Not started,[NOT RE-VERIFIED] 
BLD-16,Buildings,Airship — Building_1601,Generic employees/earnings; building TYPE is unresolved,PRESENT as a generic business; type RESOLVED to Inspiring.,BuildingBase.json; SYSTEMS.md:458,Numbers,S,P2,1,Not started,[RESOLVED] lib/business-data.json Building_1601 type=Inspiring. No business is missing a type (17 of 17 typed). Still distinct from the Family-trip Airship (F18).
BLD-17,Buildings,Magic Academy — Building_1701,Generic employees/earnings; building TYPE is unresolved,PRESENT as a generic business; type RESOLVED to Diligent.,BuildingBase.json; SYSTEMS.md:458,Numbers,S,P2,1,Not started,"[RESOLVED] lib/business-data.json Building_1701 type=Diligent. Top of the addStaffCost ladder at 80,000,000,000."
BLD-18,Buildings,Farmstead — Building_Bank,"The 18th BuildingBase entry. Tap harvest, Farmstead management, level-up with Farmstead Upgrade Blueprints (fragments combine in the Bag; Drakenberg Challenge shop), Little Helper auto-harvest. SystemUnlock 30.",ABSENT as a system. Everkai ships 17 businesses; Farmstead is the missing 18th. The Fountain reward 'Farmstead Upgrade Blueprint' (Item_LvUp_Bank) is mapped only to the legacy Fish Stall level.,BuildingBase.json; rule text for Farmstead; lib/opening.mjs,Mixed,M,P1,1,Not started,[NOT RE-VERIFIED] See C4. Building_Bank (Farmstead) is DISTINCT from Bank 1101. Decide placement — OQ-13.
A1,Main tabs,Home,The protagonist residence and Family. Eight room themes unlocking by Drakenberg Challenge chapter progress.,PARTIAL — the dock 'Home' opens Family; no home themes,SystemUnlock 15; Home:name,Flow,M,P3,6,Deferred 2026-09-15 - gated on B3,"[NOT RE-VERIFIED] Themes are gated on B3, which is ABSENT, so this cannot be finished before B3. | 2026-09-15 TRIAGE: MEASURED, then deferred with its blocker named rather than left open. Half of this row is already true: app/page.tsx:135 maps the dock entry ['Home','family','family'], so Home does open Family. The other half cannot start: a repo-wide grep for roomTheme / ""room theme"" / Home:name across lib/ and app/ returns NOTHING, and the eight room themes unlock by Drakenberg Challenge chapter progress, which is B3 - still Not started. Deferred on B3, not dropped: the themes are real content, they simply have no gate to hang on yet."
A2,Main tabs,Village,"Map of the 17 business buildings plus Farmstead, special village buildings (School, Union Hall, Trading Post land in CityLand), village events, hiring and upgrades","PRESENT — full village map, 17 businesses",CityLand (21 rows); BuildingBase,Flow,n/a,P1,1,"Dropped 2026-09-15 - superseded by C1, BLD-01..BLD-18 and C5","[UNCHANGED] Missing the 18th building (BLD-18) and village events (C5). | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read. | 2026-09-15 TRIAGE: DROPPED AS A DUPLICATE, not as work. This umbrella row's own Notes already reduced it to two items and both have dedicated rows: the 18th building is BLD-18 (Farmstead - Building_Bank, Not started) and village events are C5 (Village Events / Special Village Events, Not started). The 17 shipped businesses are C1 plus BLD-01..BLD-17. Verified against CityLand.json in the logic set: 21 rows, which is what A5 already records. Nothing tracked here is lost."
A3,Main tabs,Fellow,"Roster: level, aptitude, skills, talents, aura, limit break, awakening, Stella, artifacts, costumes, operation assignment",PRESENT; sub-features vary widely — see F1-F12,Hero rules,Flow,n/a,P1,2,"Dropped 2026-09-15 - superseded by F1-F12, F21 and C2","[NOT RE-VERIFIED]  | 2026-09-15 TRIAGE: DROPPED AS A DUPLICATE, not as work. Every sub-feature this row names has its own row: level F1, limit break F2, aptitude/talents/skills F3, Stella F4, awakening F5, aura F6, artifacts F11 and F12, costumes F21 (and F9 costume skills), operation assignment C2. The row itself says ""sub-features vary widely - see F1-F12"". It carried no acceptance criterion of its own."
A4,Main tabs,Stage,"Story stages/chapters, bosses, auto-explore",PARTIAL — see D1,Chapter / Level / AutoBattle,Mixed,L,P2,6,"Dropped 2026-09-15 - superseded by D1, D2 and D5","[NOT RE-VERIFIED]  | 2026-09-15 TRIAGE: DROPPED AS A DUPLICATE, not as work. The row says ""PARTIAL - see D1"" and names exactly three things, each with its own row: story stages/chapters and bosses are D1 (which carries the 2026-09-15 63,000-stage import), auto-explore is D2 (Explore / Full-Auto / Auto Handle), main story is D5. Nothing tracked here is lost."
A5,Main tabs,Drakenberg,"City map with the original's 21 CityLand entries (18 numbered buildings plus school, hall, commercial), 6 open and 15 gated by Stage","PRESENT as a shell; all 18 plates render at once because drakenberg-layout.json facility keys are id,label,x,y with NO unlock field. The gate data is portable NOW: 14 of 15 CityLand gate ids exist verbatim in OPENING_STAGES (63,000 stages, 3,000 chapters); 3200-6-0 is past the end of the import.",DragonCityViewPos,Flow,n/a,P1,5,In flight,"MEASURED 2026-09-13 from CityLand.json: 21 rows, not 12. 6 are open; 15 carry unlockCondition type Stage with counts 1-6-0, 6-6-0, 14-6-0, 29-6-0, 47-6-0, 93-6-0, 153-6-0, 248-6-0, 366-6-0, 519-6-0, 703-6-0, 1043-6-0, 1452-6-0, 2100-6-0, 3200-6-0. Everkai renders all 18 plates at once: drakenberg-layout.json facility keys are id,label,x,y with NO unlock field, so the progression gate is the real gap, not the building count. Porting the gates is NOT yet meaningful: our STAGES is 30 entries ending chapter 5 'Ancient Gate', so a gate at 6-6-0 would lock almost everything permanently. Absent hall/guild/arena/leaderboard are already covered by DATA-07 (Done, server-side fabrications) and B2 (Removed by design). | 2026-09-15 TRIAGE: THE BLOCKER RECORDED IN THIS ROW IS NOW FALSE - re-measured today, so the row stays open and has become actionable. It said ""our STAGES is 30 entries ending chapter 5 'Ancient Gate', so a gate at 6-6-0 would lock almost everything permanently"". lib/adventure.mjs:110 STAGES is indeed still 30 generated legacy stages, but that is no longer the campaign: the 2026-09-15 import (D1, commits 167b3e9/d28c698/0759aa0) put OPENING_STAGES at 63,000 entries over 3,000 chapters (lib/opening.mjs:36, lib/campaign-chapters-data.json, 2.4MB). MEASURED BY EXACT STRING MATCH, not by inference: 14 of the 15 CityLand unlockCondition counts are literal stage _ids present in OPENING_STAGES - 1-6-0, 6-6-0, 14-6-0 ... 2100-6-0 all resolve; only 3200-6-0 does not, because the import stops at chapter 3000. So 14 of the 15 Drakenberg gates can be ported verbatim today; only the 18th plate needs a decision."
A6,Main tabs,Storage / Bag,Items and fragments; combining fragments/blueprints; select-chests; item use,"PRESENT (Supplies/Equipment). The Combine and Fragment tabs exist but are INERT: app/storage-panel.tsx:26 filters both to a literal false, so neither can ever display an entry.",SystemUnlock 35,Flow,S,P2,6,Not started,"[NOT RE-VERIFIED] unknown: whether combine works. storage-panel.tsx says 'No combination recipes are available in this sandbox yet.' | 2026-09-15 TRIAGE: THE ""unknown"" IN THIS ROW IS NOW RESOLVED, and the quoted string was stale. app/storage-panel.tsx no longer says ""No combination recipes are available in this sandbox yet."" - line 37 says ""No combination recipes yet."" More usefully, combine does not merely lack recipes: line 26 computes visible = category==='Item' ? !item.activity : category==='Events' ? item.activity : FALSE, so the Combine AND Fragment tabs are hard-coded to render nothing no matter what the bag holds. Both are inert placeholders in the tab list at line 20. Row stays open with the unknown replaced by a measurement; the work is a real fragment/blueprint combine flow, not a recipe table."
B1,Drakenberg,Recruit,Acquaint Stones and fragments invite Fellows or Family; duplicates convert to character fragments; Bond Compendium (64 HeroBond groups) grants attribute bonuses on completing a group,"PARTIAL, deliberately diverged — a deterministic exchange counter: pick and pay, no pools, no pity, no luck, priced per rarity. 257 of 259 characters buyable.",Recruit rules; HeroBond (64 groups); SUMMON_COSTS in lib/summon.mjs,Flow,M,P2,2,Verified 2026-09-15 - count in this row was wrong,"[MEASURED 2026-09-15] Verified, one drift corrected. This row said 'Bond Compendium (64 HeroBond groups)'. HeroBond.json is a dict wrapping a list of 23 rows, not 64; HeroBondBonus carries 190. Positive control: Wife 151 rows came back from the same loader. The 64 is not a filter of HeroBond that I can reproduce, so F8 should be scoped against 23 groups / 190 bonuses, not 64. SUMMON_COSTS still reads N/R 3/5 stone fragments, SR/SSR/SSR+ 1/2/3 Stones, UR 2 Valiant, UR* 2 Archangel, set 1 Archangel; the deterministic exchange is unchanged and is still the deliberate divergence. Remaining work belongs to F8 (Bond Compendium) and ECON-24 (hero_60 pricing), not to this row."
B2,Drakenberg,Ranking,Server leaderboards; daily Respect for a crystal reward; 11 board types; ranking medals to the Museum Honor Room; rank avatar frames,ABSENT by design,XServerRankType; SystemUnlock 56,n/a,n/a,P3,n/a,Removed by design - re-confirmed 2026-09-15,"[DROPPED - single-player impossible] Re-confirmed under DATA-07. There is no client-side truth to port: the boards are server state, and the only observable instance of them is fabricated (server.py:487 invents rivals with scores computed as player_score + (4-i)*1000). Rule:text:XServerRank has no group in en/translate.json (positive control: Rule:text:CommercialWar_* returns 29, matching the 29 lines already shipped in lib/trading-post-data.json), so even the rule text is not recoverable. No honest single-player adaptation exists: a leaderboard whose other entries are generated is the fabrication the project rule forbids. The salvageable pieces are elsewhere - ranking medals belong to the Museum Honor Room row and avatar frames to the cosmetics rows. Nothing further to do here."
B3,Drakenberg,Drakenberg Challenge,"Beat dungeon guards floor by floor; beating a higher floor swaps floors; progress reward on reset; daily Dungeon Coins by progress; HIGHER PROGRESS RAISES VILLAGE EARNINGS; Dungeon Coin shop. Eight chapters, 2,320 DrakenbergLevel rows.",ABSENT — needs an NPC adaptation,"rule Moving; DrakenbergChapter; DrakenbergLevel (2,320 rows)","Flow for the floor-swap rule and the floor-to-earnings link; NUMBERS for the 2,320 rows",L,P1,5,"Deferred 2026-09-15 - measured in full, too large to half-build","[MEASURED 2026-09-15, SPEC ONLY] Confirmed and now precisely scoped. DrakenbergChapter is 8 rows (orderIndex 1-8; row 8 is the only isPVP:true, so the PvP chapter is separable and should be dropped). DrakenbergLevel is 2,320 rows keyed '<chapter>-<n>', chapter 1..8. THE EARNINGS LINK IS A REAL COLUMN, NOT AN INFERENCE: DrakenbergLevel.cityIncomeRate runs 0 at 1-1, 100 at 1-2, up to 160000 at 8-100 - that column is the 'higher progress raises village earnings' rule and is the whole reason this row is P1. Each row also carries atk (6,700 at 1-1 to 1.29e15 at 8-100, so parse defensively per CLAUDE.md rule 5), reward, dailyReward and battleNpc. Rule:text:Moving_* is 14 lines. DEFERRED rather than half-built because cityIncomeRate feeds the income model directly: the brief's measured ceiling is already an overshoot (4.10M vs the original's live-save 3.50M) and simulated income is ~75M gold/s at day 7, so wiring a 160,000-step earnings multiplier in without first agreeing how it composes with the existing multipliers would move the warned metric silently. Build order: import the 2,320 rows and the cityIncomeRate curve first, measure the composed income, then decide the floor-swap flow. Also gates the main quest chain - see D5/OQ-09."
B4,Drakenberg,Drakenberg Arena,"Qualifiers with a default lineup; wins add and losses deduct points; extra points for beating higher ranks (capped); one attempt per hour capped at 25; top 32 to a bracket, three squads, best of three",ABSENT,rule DrakenbergArena; SystemUnlock 133,Flow,L,P3,5,Dropped 2026-09-15 - single-player impossible,"[DROPPED - single-player impossible] DrakenbergArena.json is 4 rows and Rule:text:DrakenbergArena_* is 11 lines, so the data exists; the content does not survive the port. The whole system is other players' lineups: qualifiers against real opponents, points added for wins and deducted for losses, extra points for beating higher ranks, then a top-32 bracket of three squads best-of-three. Everything that makes it a system is the opponent pool. The note on this row proposed 'a periodic NPC bracket'; that is the fabrication the project design rule forbids - a generated bracket measures the generator, not the game (same failure as B2 and DATA-07). The transferable pieces already exist elsewhere in Everkai: a per-hour capped attempt budget is the Trading Post's Negotiation Energy (B7) and a laddered solo opponent is Drakenberg Challenge (B3). Dropped rather than deferred so the slice can close; reopen only if the owner wants a named, authored rival cast rather than a simulated ladder."
